tipo_celular,module_size,P4HTM_MM,P4HTM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.093,17.0,136,1,0.74,3.74 (NA-NA),135,99.26,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,296.0,0.1,5.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,203.0,0.385,88.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316.0,0.111,38.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220.0,0.186,52.0,410,3,0.73,3.48 (2.19-4.77),407,99.27,4.25 (4.07-4.44)
GABA neurons expressing GABA receptors 13,86.0,0.086,6.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.188,76.0,169,3,1.78,3.48 (2.19-4.77),166,98.22,3.48 (3.26-3.70)
GABA like neurons 14,2402.0,0.392,79.0,455,9,1.98,1.50 (0.45-2.55),446,98.02,4.42 (4.24-4.60)
astrocytes 8,520.0,0.097,40.0,288,2,0.69,2.99 (1.51-4.47),286,99.31,4.18 (3.98-4.38)
oligodendrocyte progenitor cells 12,1049.0,0.055,20.0,235,2,0.85,4.11 (3.40-4.82),233,99.15,3.82 (3.59-4.05)
oligodendrocytes 10,806.0,0.181,58.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.112,72.0,105,4,3.81,2.93 (2.26-3.60),101,96.19,3.22 (2.88-3.57)
oligodendrocytes 16,155.0,0.215,50.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,409.0,0.156,65.0,235,1,0.43,4.47 (NA-NA),234,99.57,3.97 (3.72-4.22)
astrocytes microglia 23,96.0,0.378,84.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,1807.0,0.135,32.0,104,4,3.85,2.51 (1.14-3.88),100,96.15,2.88 (2.59-3.17)
oligodendrocytes 0,546.0,0.074,3.0,252,9,3.57,1.50 (0.45-2.55),243,96.43,4.22 (3.98-4.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.103,42.0,345,1,0.29,2.24 (NA-NA),344,99.71,4.28 (4.07-4.49)
oligodendrocytes 2,526.0,0.192,27.0,213,1,0.47,4.47 (NA-NA),212,99.53,3.98 (3.70-4.25)
