tipo_celular,module_size,RNF213_MM,RNF213_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.368,96.0,35,5,14.29,3.53 (3.39-3.67),30,85.71,3.79 (2.64-4.94)
T cells 18,506.0,0.233,63.0,225,13,5.78,2.81 (2.09-3.53),212,94.22,3.68 (3.42-3.94)
astrocytes 5,328.0,0.075,4.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,60,17.0,2.84 (2.38-3.31),293,83.0,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.059,5.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,853.0,0.214,87.0,133,22,16.54,1.71 (1.27-2.14),111,83.46,3.63 (3.30-3.96)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.098,11.0,120,33,27.5,4.01 (3.47-4.56),87,72.5,4.87 (4.49-5.24)
oligodendrocytes 20,358.0,0.123,36.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.12,34.0,125,8,6.4,4.66 (2.27-7.05),117,93.6,3.30 (2.98-3.62)
astrocytes 8,1266.0,0.103,68.0,66,24,36.36,1.88 (1.45-2.31),42,63.64,4.20 (3.80-4.61)
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,43,15.58,2.92 (2.44-3.41),233,84.42,3.67 (3.43-3.91)
oligodendrocytes 10,2107.0,0.283,87.0,358,62,17.32,2.74 (2.30-3.19),296,82.68,4.16 (3.96-4.36)
connective tissue cells 21,103.0,0.297,58.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768.0,0.153,92.0,105,30,28.57,2.96 (2.37-3.55),75,71.43,3.32 (2.92-3.73)
oligodendrocytes 16,108.0,0.141,23.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.314,85.0,47,4,8.51,2.41 (-0.47-5.28),43,91.49,2.87 (2.54-3.20)
astrocytes 4,251.0,0.14,32.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,1186.0,0.124,21.0,300,12,4.0,3.61 (3.09-4.12),288,96.0,3.80 (3.59-4.01)
microglia 1,315.0,0.136,32.0,144,7,4.86,3.30 (2.38-4.22),137,95.14,4.53 (4.21-4.84)
oligodendrocytes 3,357.0,0.108,60.0,127,1,0.79,4.40 (NA-NA),126,99.21,3.11 (2.77-3.44)
oligodendrocytes 2,347.0,0.174,40.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
