tipo_celular,module_size,MESD_MM,MESD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.268,80.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,518.0,0.111,20.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.124,64.0,136,6,4.41,2.14 (1.35-2.93),130,95.59,3.26 (2.99-3.54),5.96,4.94
oligodendrocyte progenitor cells 7,628.0,0.129,24.0,164,3,1.83,4.59 (3.75-5.42),161,98.17,4.07 (3.74-4.41),6.74,7.54
GABA neurons expressing GLU receptors 22,848.0,0.131,15.0,262,16,6.11,3.29 (2.24-4.33),246,93.89,4.23 (3.98-4.48),4.98,4.05
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.14,28.0,302,5,1.66,1.98 (0.55-3.41),297,98.34,4.02 (3.79-4.24),5.03,10.75
oligodendrocytes 20,250.0,0.163,42.0,14,1,7.14,NA,13,92.86,1.92 (1.21-2.62),1.46,5.07
GABA like neurons 14,2402.0,0.263,58.0,455,29,6.37,2.91 (2.05-3.77),426,93.63,4.48 (4.29-4.66),19.97,8.08
astrocytes 8,603.0,0.06,34.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28),5.02,6.12
oligodendrocyte progenitor cells 12,1049.0,0.059,24.0,235,3,1.28,5.66 (3.00-8.32),232,98.72,3.79 (3.56-4.02),8.38,7.60
oligodendrocytes 10,483.0,0.068,22.0,129,1,0.78,8.28 (NA-NA),128,99.22,3.38 (3.00-3.76),1.71,19.33
connective tissue cells 21,100.0,0.199,22.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,458.0,0.078,40.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,64.0,0.159,24.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.412,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.146,53.0,104,14,13.46,1.59 (1.02-2.17),90,86.54,3.08 (2.79-3.37),10.47,4.61
oligodendrocytes 0,613.0,0.097,8.0,127,7,5.51,2.97 (1.94-4.01),120,94.49,3.06 (2.61-3.50),3.94,6.41
microglia 1,406.0,0.089,10.0,278,1,0.36,6.67 (NA-NA),277,99.64,4.35 (4.08-4.62),2.82,6.75
oligodendrocytes 3,743.0,0.051,9.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,526.0,0.182,24.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
