tipo_celular,module_size,FBXL4_MM,FBXL4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.2,43.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,727.0,0.144,50.0,49,1,2.04,4.44 (NA-NA),48,97.96,2.38 (1.99-2.78),3.03,6.30
astrocytes 5,1141.0,0.123,38.0,166,26,15.66,2.63 (2.08-3.18),140,84.34,3.55 (3.28-3.83),8.62,3.79
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,42,11.9,2.49 (2.00-2.99),311,88.1,4.13 (3.94-4.32),27.97,5.38
GABA neurons expressing GLU receptors 22,823.0,0.146,29.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23),2.93,3.47
GLU like neurons 17,300.0,0.143,16.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,77.0,0.311,57.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.15,67.0,297,4,1.35,4.54 (4.34-4.75),293,98.65,3.67 (3.46-3.87),5.32,5.52
oligodendrocytes 20,233.0,0.203,56.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.175,79.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67),6.45,8.65
astrocytes 8,262.0,0.156,58.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,31,11.23,2.70 (2.26-3.14),245,88.77,3.68 (3.44-3.92),14.08,3.98
oligodendrocytes 10,2107.0,0.178,62.0,358,40,11.17,2.52 (2.00-3.04),318,88.83,4.08 (3.89-4.28),30.42,6.84
connective tissue cells 21,90.0,0.257,31.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,1401.0,0.116,75.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,90.0,0.159,15.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,54.0,0.308,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.176,90.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.15,61.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615.0,0.161,93.0,161,36,22.36,2.37 (1.81-2.93),125,77.64,3.59 (3.30-3.87),11.99,3.54
oligodendrocytes 3,854.0,0.148,91.0,76,2,2.63,2.43 (-1.93-6.79),74,97.37,2.79 (2.46-3.12),2.56,4.78
oligodendrocytes 2,921.0,0.155,79.0,200,6,3.0,3.32 (2.24-4.41),194,97.0,3.63 (3.36-3.90),7.27,3.35
