tipo_celular,module_size,METTL7A_MM,METTL7A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.306,88.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.108,20.0,166,10,6.02,1.65 (1.08-2.22),156,93.98,3.53 (3.27-3.78),8.41,4.30
oligodendrocyte progenitor cells 7,628.0,0.207,71.0,164,6,3.66,3.52 (3.13-3.90),158,96.34,4.10 (3.77-4.44),5.70,7.60
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.081,13.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,330.0,0.098,20.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26),5.35,2.93
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,260.0,0.085,24.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,10,3.62,2.24 (1.51-2.97),266,96.38,3.61 (3.38-3.83),14.00,4.78
oligodendrocytes 10,483.0,0.088,36.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82),7.17,19.28
connective tissue cells 21,301.0,0.278,23.0,158,6,3.8,2.29 (1.07-3.51),152,96.2,4.33 (3.96-4.70),8.83,7.00
astrocytes 15,1768.0,0.165,96.0,105,10,9.52,2.08 (1.44-2.71),95,90.48,3.34 (2.99-3.70),7.94,3.56
oligodendrocytes 16,75.0,0.085,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.45,94.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255.0,0.212,73.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613.0,0.329,100.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,1615.0,0.165,95.0,161,14,8.7,1.28 (0.76-1.79),147,91.3,3.51 (3.25-3.77),16.09,4.42
oligodendrocytes 3,681.0,0.17,91.0,87,9,10.34,1.51 (1.00-2.02),78,89.66,2.72 (2.43-3.00),6.71,3.96
oligodendrocytes 2,921.0,0.292,100.0,200,2,1.0,3.70 (0.83-6.57),198,99.0,3.62 (3.35-3.89),1.72,3.48
