tipo_celular,module_size,RLIM_MM,RLIM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.137,36.0,71,8,11.27,2.40 (1.31-3.49),63,88.73,2.66 (2.21-3.10),2.21,3.75
T cells 18,610.0,0.096,12.0,98,41,41.84,2.26 (1.86-2.66),57,58.16,3.87 (3.50-4.23),5.96,2.65
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.14,28.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27),6.27,5.83
GABA neurons expressing GLU receptors 22,848.0,0.301,76.0,262,15,5.73,3.28 (2.52-4.04),247,94.27,4.24 (3.98-4.49),4.75,4.06
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.236,67.0,410,13,3.17,3.45 (2.89-4.00),397,96.83,4.28 (4.09-4.48),8.91,7.47
GABA neurons expressing GABA receptors 13,200.0,0.124,26.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,338.0,0.081,20.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,322.0,0.034,6.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.209,45.0,455,31,6.81,2.38 (1.84-2.93),424,93.19,4.55 (4.36-4.73),18.99,8.09
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.042,9.0,32,12,37.5,1.81 (1.03-2.59),20,62.5,4.32 (3.31-5.34),3.19,2.24
oligodendrocytes 10,806.0,0.175,55.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,116.0,0.297,59.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.165,27.0,291,2,0.69,3.88 (2.82-4.95),289,99.31,4.33 (4.10-4.56),2.24,3.83
da neurons 6,307.0,0.184,86.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,72.0,0.378,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.107,36.0,238,27,11.34,3.26 (2.76-3.76),211,88.66,3.69 (3.45-3.93),6.16,4.88
microglia 1,958.0,0.116,58.0,290,19,6.55,3.03 (2.40-3.67),271,93.45,3.88 (3.64-4.12),5.45,4.97
oligodendrocytes 3,457.0,0.086,33.0,345,12,3.48,3.70 (3.07-4.33),333,96.52,4.30 (4.09-4.52),4.67,5.73
oligodendrocytes 2,1630.0,0.135,35.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
