tipo_celular,module_size,RRP1B_MM,RRP1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.105,13.0,102,35,34.31,2.52 (2.13-2.91),67,65.69,4.05 (3.58-4.52),3.88,2.59
T cells 18,610.0,0.2,80.0,98,37,37.76,2.10 (1.71-2.49),61,62.24,3.86 (3.51-4.21),6.26,2.69
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,60,17.0,2.14 (1.86-2.42),293,83.0,4.36 (4.19-4.54),20.59,5.50
GABA neurons expressing GLU receptors 22,703.0,0.166,38.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,489.0,0.109,30.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,853.0,0.122,43.0,133,44,33.08,1.96 (1.68-2.24),89,66.92,4.08 (3.71-4.45),5.64,3.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.068,4.0,120,3,2.5,4.81 (1.03-8.59),117,97.5,4.60 (4.29-4.91),2.59,3.68
oligodendrocytes 20,228.0,0.291,80.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,2090.0,0.144,43.0,74,16,21.62,2.51 (2.04-2.98),58,78.38,3.07 (2.61-3.54),3.51,12.43
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,49,17.75,2.17 (1.91-2.43),227,82.25,3.95 (3.71-4.19),9.49,4.17
oligodendrocytes 10,2107.0,0.156,54.0,358,69,19.27,2.15 (1.89-2.42),289,80.73,4.45 (4.27-4.63),24.04,6.00
connective tissue cells 21,85.0,0.416,91.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,75.0,0.151,21.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.313,43.0,120,27,22.5,2.61 (2.05-3.17),93,77.5,3.99 (3.67-4.31),3.41,2.62
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.125,73.0,238,16,6.72,2.55 (2.04-3.06),222,93.28,3.72 (3.49-3.95),6.29,4.93
microglia 1,958.0,0.104,40.0,290,14,4.83,2.49 (1.63-3.34),276,95.17,3.89 (3.66-4.13),7.02,4.90
oligodendrocytes 3,639.0,0.047,6.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.166,91.0,154,3,1.95,5.13 (1.90-8.36),151,98.05,3.20 (2.94-3.46),1.76,3.63
